agent_target;00-09;10-19;20-29;30-39;40-49;50-59;60-69;70-79;80-++
00-09;1,9;0,4;0,3;0,2;0,1;0,01;0,005;0,0005;0,0005
10-19;;1,8;0,8;0,2;0,05;0,05;0,01;0,005;0,001
20-29;;;1,4;0,7;0,6;0,2;0,1;0,05;0,005
30-39;;;;1,3;0,6;0,4;0,3;0,1;0,05
40-49;;;;;0,7;0,5;0,4;0,1;0,05
50-59;;;;;;0,4;0,3;0,1;0,05
60-69;;;;;;;0,1;0,01;0,005
70-79;;;;;;;;0,01;0,005
80-++;;;;;;;;;0,01
